Name,Rating
Erik Pieters,6.65
Harry Wilson,6.64
Miguel Almirón,6.64
Bernardo,6.64
Paul Dummett,6.64
Lukasz Fabianski,6.64
Nacho Monreal,6.64
Tyrone Mings,6.63
Jeffrey Schlupp,6.63
Matthew Longstaff,6.63
Arthur Masuaku,6.63
Ilkay Gündogan,6.63
Jack Cork,6.63
Rui Patrício,6.63
Yves Bissouma,6.63
Eric Dier,6.63
Callum Hudson-Odoi,6.63
Héctor Bellerín,6.63
Mark Noble,6.63
Javier Manquillo,6.62
Aaron Cresswell,6.62
Martín Montoya,6.62
Andros Townsend,6.61
Lucas Torreira,6.61
Björn Engels,6.61
Adam Smith,6.61
Marvelous Nakamba,6.6
Craig Dawson,6.6
Jeremy Ngakia,6.6
Alexander Tettey,6.6
Pepe Reina,6.6
Will Hughes,6.59
Jack Stephens,6.59
Séamus Coleman,6.59
Sebastian Prödl,6.59
Tariq Lamptey,6.59
Andreas Pereira,6.59
Rúben Vinagre,6.58
Tom Trybull,6.58
Leandro Trossard,6.58
Tom Heaton,6.57
Trézéguet,6.57
Eddie Nketiah,6.57
Nampalys Mendy,6.57
Alireza Jahanbakhsh,6.57
Ryan Fraser,6.57
Maximilian Kilman,6.57
James Milner,6.57
Jamal Lewis,6.57
Kiko Femenía,6.56
Douglas Luiz,6.56
Ben Foster,6.56
Roberto Jiménez,6.56
Sofiane Boufal,6.55
Conor Hourihane,6.55
Lys Mousset,6.55
Jeff Hendrick,6.55
Tom Cleverley,6.55
Ryan Bertrand,6.54
Simon Francis,6.54
Andriy Yarmolenko,6.54
Alex Iwobi,6.54
Max Aarons,6.52
Harry Winks,6.52
Phil Jagielka,6.52
Christian Eriksen,6.51
Callum Wilson,6.51
Marc Albrighton,6.51
Florian Lejeune,6.51
James McCarthy,6.51
José Holebas,6.5
Pablo Fornals,6.5
Ben Godfrey,6.5
Ederson,6.49
Stuart Armstrong,6.49
Sead Kolasinac,6.49
Conor Coady,6.49
David de Gea,6.49
William Smallbone,6.49
Danny Rose,6.49
Fabian Delph,6.49
Moritz Leitner,6.49
Giovani Lo Celso,6.48
Oriol Romeu,6.48
Jay Rodriguez,6.47
Ahmed El Mohamady,6.47
Cenk Tosun,6.47
Onel Hernández,6.47
Nathaniel Chalobah,6.47
Mason Greenwood,6.47
Ibrahim Amadou,6.46
Eric García,6.46
Phil Foden,6.46
Kieran Tierney,6.45
Dennis Praet,6.45
Pedro Neto,6.45
Divock Origi,6.44
Demarai Gray,6.44
Tom Davies,6.44
Arnaut Danjuma Groeneveld,6.44
David Martin,6.43
Hamza Choudhury,6.42
Kepa Arrizabalaga,6.42
Pablo Zabaleta,6.42
Morgan Schneiderlin,6.42
DeAndre Yedlin,6.41
Theo Walcott,6.41
Dan Gosling,6.41
Gabriel Martinelli,6.4
Connor Wickham,6.4
Claudio Bravo,6.39
Ezri Konsa,6.39
Phil Jones,6.39
Ryan Bennett,6.39
Matej Vydra,6.39
Roberto Pereyra,6.38
Billy Gilmour,6.38
Nathan Holland,6.38
Juan Mata,6.37
Xherdan Shaqiri,6.37
Jairo Riedewald,6.37
Reiss Nelson,6.37
Luke Freeman,6.36
Adrian Mariappa,6.36
Jordan Pickford,6.35
Michael McGovern,6.35
Aaron Connolly,6.35
Billy Sharp,6.35
Adam Lallana,6.34
Sean Longstaff,6.34
Adrián,6.33
Neil Taylor,6.33
Muhamed Besic,6.33
Lewis Cook,6.32
Jed Steer,6.32
André Gomes,6.32
Christian Atsu,6.32
Dominic Solanke,6.32
Ryan Sessegnon,6.32
Yan Valery,6.31
Patrick Cutrone,6.31
Ki Sung-Yueng,6.31
Cenk Tosun,6.31
Darren Randolph,6.31
Moise Kean,6.3
Chicharito,6.3
Michael Obafemi,6.3
Emile Smith Rowe,6.3
Joe Willock,6.29
Florin And one,6.29
Jota,6.29
Danny Rose,6.29
Robbie Brady,6.28
Marco Stiepermann,6.28
Lukas Rupp,6.27
Jürgen Locadia,6.27
Jesse Lingard,6.27
Callum Robinson,6.27
Wes Morgan,6.27
Mario Vrancic,6.26
Glenn Murray,6.26
Ignacio Pussetto,6.26
Willy Caballero,6.25
Che Adams,6.25
Anthony Gordon,6.25
Danny Welbeck,6.25
Rob Holding,6.25
Curtis Jones,6.24
Jordon Ibe,6.23
Ezequiel Schelotto,6.23
Dwight Gayle,6.22
Brandon Pierrick Keutcha,6.22
Emil Krafth,6.22
Gedson Fernandes,6.21
Max Meyer,6.21
Ben Osborn,6.21
Mamadou Sakho,6.21
Charlie Daniels,6.21
Patrick Roberts,6.2
Angus Gunn,6.19
Andre Gray,6.18
Keinan Davis,6.18
Diogo Dalot,6.18
Morgan Gibbs-White,6.18
Junior Stanislas,6.17
Henrikh Mkhitaryan,6.17
Odion Ighalo,6.16
Faustino Anjorin,6.16
Jack Simpson,6.15
Carlos Sánchez,6.14
Jesús Vallejo,6.14
Kevin Danso,6.13
Marcos Rojo,6.13
Daniel Podence,6.13
Oliver Skipp,6.13
Maya Yoshida,6.12
Takumi Minamino,6.12
Indiana Vassilev,6.12
Josip Drmic,6.11
Michy Batshuayi,6.1
Kevin LongBurnley,6.1
Angel Gomes,6.09
Ralf Fährmann,6.08
Aaron Lennon,6.08
Domingos Quina,6.08
Gaëtan Bong,6.07
Georges-Kévin Nkoudou,6.07
Dennis Srbeny,6.06
Yoshinori Muto,6.05
Juan Foyth,6.05
Dimitri Foulquier,6.03
Armando Broja,6.02
Valentino Lazaro,6.02
Tahith Chong,6.02
Andrew Surman,6.02
Henri Lansbury,6.02
Alexis Mac Allister,6.01
Matty James,6.01
Troy Parrott,6.01
Victor Wanyam,6.01
Víctor Camarasa,6.01
Axel Tuanzebe,6
Jonathan Kodjia,6
Harvey Elliott,6
James Garner,6
Josh Brownhill,6
Jack Wilshere,5.99
Oumar Niasse,5.97
Albian Ajeti,5.97
Isaac Success,5.96
Adam Idah,5.94
Ørjan Nyland,5.93
Ravel Morrison,5.92
Sam Surridge,5.87
Leon Clarke,5.81
Daniel Drinkwater,5.74
Borja Bastón,5.71
Mark Travers,4.95
Simon Moore,4.91
