,League,Team,Name,Position,Age,Height,Weight,BMI,Rating
89,EPL,Bournemouth,Junior Stanislas,Midfielder,30,72,168,22.78240740740741,6.17
92,EPL,Bournemouth,Dominic Solanke,Forward,22,73,165,21.76674798273597,6.32
93,EPL,Bournemouth,Callum Wilson,Forward,28,71,146,20.36064272961714,6.51
94,EPL,Bournemouth,Aaron Ramsdale,Goalkeeper,22,74,170,21.824324324324323,6.77
95,EPL,Bournemouth,Steve Cook,Defender,29,73,181,23.877462938637642,6.79
96,EPL,Bournemouth,Simon Francis,Defender,35,72,198,26.850694444444443,6.54
97,EPL,Bournemouth,Chris Mepham,Defender,22,75,165,20.621333333333332,6.75
98,EPL,Bournemouth,Jack Simpson,Defender,23,70,183,26.254897959183673,6.15
100,EPL,Bournemouth,Ryan Fraser,Midfielder,26,64,154,26.43115234375,6.57
101,EPL,Bournemouth,Jordon Ibe,Midfielder,24,69,179,26.430791850451588,6.23
102,EPL,Bournemouth,Jefferson Lerma,Midfielder,25,70,154,22.094285714285714,6.7
103,EPL,Bournemouth,Jack Stacey,Midfielder,24,71,150,20.91846855782583,6.75
104,EPL,Bournemouth,Andrew Surman,Midfielder,33,70,161,23.09857142857143,6.02
105,EPL,Bournemouth,Harry Wilson,Midfielder,23,68,154,23.413062283737023,6.64
106,EPL,Bournemouth,Joshua King,Forward,28,71,163,22.731402499504068,6.84
107,EPL,Bournemouth,Sam Surridge,Forward,21,75,170,21.246222222222222,5.87
110,EPL,Burnley,Phil Bardsley,Defender,34,71,163,22.731402499504068,6.94
112,EPL,Burnley,Matthew Lowton,Defender,30,71,172,23.986510612973618,6.7
113,EPL,Burnley,Erik Pieters,Defender,31,72,183,24.816550925925927,6.65
114,EPL,Burnley,Charlie Taylor,Defender,26,69,154,22.73934047469019,6.88
115,EPL,Burnley,Robbie Brady,Midfielder,28,69,157,23.18231463978156,6.28
116,EPL,Burnley,Jack Cork,Midfielder,30,72,154,20.883873456790123,6.63
118,EPL,Burnley,Aaron Lennon,Midfielder,33,65,139,23.128284023668638,6.08
119,EPL,Burnley,Ashley Barnes,Forward,30,73,170,22.426346406455245,6.67
121,EPL,Burnley,Chris Wood,Forward,28,75,179,22.371022222222223,6.74
123,EPL,Burnley,Nick Pope,Goalkeeper,28,75,168,20.996266666666667,6.71
126,EPL,Burnley,Ben Mee,Defender,30,71,163,22.731402499504068,6.88
127,EPL,Burnley,James Tarkowski,Defender,27,73,179,23.613623569149933,7.11
128,EPL,Burnley,Josh Brownhill,Midfielder,24,70,152,21.80734693877551,6.0
129,EPL,Burnley,Jeff Hendrick,Midfielder,28,73,174,22.954025145430663,6.55
130,EPL,Burnley,Ashley Westwood,Midfielder,30,69,179,26.430791850451588,6.82
131,EPL,Burnley,Dwight McNeil,Forward,20,72,150,20.341435185185187,7.09
132,EPL,Burnley,Matej Vydra,Forward,28,71,157,21.894663757191033,6.39
133,EPL,Chelsea,Willy Caballero,Goalkeeper,38,73,176,23.21786451491837,6.25
134,EPL,Chelsea,Marcos Alonso,Defender,29,74,185,23.75,7.49
135,EPL,Chelsea,Andreas Christensen,Defender,24,76,187,22.75986842105263,6.71
136,EPL,Chelsea,Antonio Rüdiger,Defender,27,75,187,23.370844444444444,6.84
137,EPL,Chelsea,Kurt Zouma,Defender,25,75,203,25.37048888888889,6.9
139,EPL,Chelsea,Jorginho,Midfielder,28,71,143,19.94227335846062,6.94
140,EPL,Chelsea,Mateo Kovacic,Midfielder,26,70,172,24.676734693877552,6.98
141,EPL,Chelsea,Mason Mount,Midfielder,21,69,141,20.819785759294266,7.01
142,EPL,Chelsea,Pedro,Midfielder,32,67,143,22.394519937625308,6.95
143,EPL,Chelsea,Willian,Midfielder,31,69,170,25.101869355177485,7.25
144,EPL,Chelsea,Tammy Abraham,Forward,22,75,159,19.871466666666667,7.12
145,EPL,Chelsea,Michy Batshuayi,Forward,26,73,172,22.690185775942954,6.1
146,EPL,Chelsea,Olivier Giroud,Forward,33,76,201,24.463815789473685,6.69
148,EPL,Chelsea,César Azpilicueta,Defender,30,70,172,24.676734693877552,7.11
149,EPL,Chelsea,Emerson,Defender,25,69,139,20.524469649233353,6.75
150,EPL,Chelsea,Reece James,Defender,20,72,181,24.545331790123456,6.92
151,EPL,Chelsea,Fikayo Tomori,Defender,22,73,170,22.426346406455245,6.88
152,EPL,Chelsea,Ross Barkley,Midfielder,26,73,168,22.162507036967536,6.9
153,EPL,Chelsea,Callum Hudson-Odoi,Midfielder,19,72,165,22.375578703703702,6.63
154,EPL,Chelsea,N'Golo Kanté,Midfielder,29,66,154,24.853535353535353,6.89
156,EPL,Chelsea,Christian Pulisic,Midfielder,21,68,152,23.108996539792386,7.08
157,EPL,Crystal Palace,Vicente Guaita,Goalkeeper,33,75,176,21.996088888888888,6.82
158,EPL,Crystal Palace,Wayne Hennessey,Goalkeeper,33,78,198,22.87869822485207,7.25
159,EPL,Crystal Palace,Gary Cahill,Defender,34,75,187,23.370844444444444,6.8
160,EPL,Crystal Palace,Martin Kelly,Defender,30,75,170,21.246222222222222,6.66
161,EPL,Crystal Palace,Mamadou Sakho,Defender,30,74,176,22.594594594594593,6.21
162,EPL,Crystal Palace,James Tomkins,Defender,31,76,163,19.838815789473685,6.82
163,EPL,Crystal Palace,Joel Ward,Defender,30,74,183,23.493243243243242,6.65
165,EPL,Crystal Palace,James McArthur,Midfielder,32,70,141,20.22918367346939,6.93
166,EPL,Crystal Palace,Max Meyer,Midfielder,24,68,148,22.500865051903116,6.21
167,EPL,Crystal Palace,Wilfried Zaha,Midfielder,27,71,146,20.36064272961714,7.06
168,EPL,Crystal Palace,Jordan Ayew,Forward,28,72,179,24.274112654320987,7.01
169,EPL,Crystal Palace,Cenk Tosun,Forward,28,72,172,23.324845679012345,6.31
172,EPL,Crystal Palace,Scott Dann,Defender,33,74,172,22.08108108108108,6.82
173,EPL,Crystal Palace,Jairo Riedewald,Defender,23,72,174,23.596064814814813,6.37
174,EPL,Crystal Palace,Jeffrey Schlupp,Defender,27,70,159,22.811632653061224,6.63
175,EPL,Crystal Palace,Patrick van Aanholt,Defender,29,69,148,21.853392144507456,6.79
176,EPL,Crystal Palace,Cheikhou Kouyaté,Midfielder,30,74,165,21.18243243243243,6.73
177,EPL,Crystal Palace,James McCarthy,Midfielder,29,71,159,22.17357667129538,6.51
178,EPL,Crystal Palace,Luka Milivojevic,Midfielder,29,73,176,23.21786451491837,6.75
179,EPL,Crystal Palace,Andros Townsend,Midfielder,28,71,170,23.70759769886927,6.61
180,EPL,Crystal Palace,Christian Benteke,Forward,29,75,183,22.870933333333333,6.77
181,EPL,Everton,Jordan Pickford,Goalkeeper,26,73,159,20.97522987427285,6.35
183,EPL,Everton,Leighton Baines,Defender,35,67,154,24.117175317442637,6.78
184,EPL,Everton,Lucas Digne,Defender,26,70,163,23.385510204081633,7.12
185,EPL,Everton,Mason Holgate,Defender,23,71,139,19.384447530251933,6.73
187,EPL,Everton,Djibril Sidibé,Defender,27,72,179,24.274112654320987,7.01
189,EPL,Everton,Tom Davies,Midfielder,21,71,154,21.476294386034517,6.44
190,EPL,Everton,Jean-Philippe Gbamin,Midfielder,24,73,183,24.14130230812535,6.76
191,EPL,Everton,Alex Iwobi,Midfielder,24,73,190,25.064740101332333,6.54
192,EPL,Everton,Gylfi Sigurdsson,Midfielder,30,73,181,23.877462938637642,6.68
193,EPL,Everton,Dominic Calvert-Lewin,Forward,23,69,141,20.819785759294266,6.94
194,EPL,Everton,Moise Kean,Forward,20,72,159,21.561921296296298,6.3
195,EPL,Everton,Richarlison,Forward,23,70,157,22.52469387755102,7.32
198,EPL,Everton,Michael Keane,Defender,27,75,181,22.620977777777778,6.7
199,EPL,Everton,Yerry Mina,Defender,25,76,209,25.4375,6.85
200,EPL,Everton,Bernard,Midfielder,27,65,115,19.13491124260355,6.66
201,EPL,Everton,Fabian Delph,Midfielder,30,69,172,25.397185465238394,6.49
202,EPL,Everton,André Gomes,Midfielder,26,74,185,23.75,6.32
